,species,decimalLatitude,decimalLongitude
2318,Sassafras albidum,37.415007,-76.616871
1016,Fagus grandifolia,37.415166,-76.643066
1335,Juniperus virginiana,37.41524,-76.642997
1288,Ilex opaca,37.415289,-76.642893
1808,Platanus occidentalis,37.415375,-76.646633
2316,Sassafras albidum,37.415414,-76.580681
549,Asimina triloba,37.415576,-76.643223
553,Asimina triloba,37.415769,-76.641666
1300,Ilex opaca,37.416078,-76.641782
1415,Liquidambar styraciflua,37.416125,-76.641784
1964,Quercus laurifolia,37.416146,-76.641754
1421,Liquidambar styraciflua,37.416307,-76.645374
723,Carpinus caroliniana,37.4166,-76.645255
523,Asimina triloba,37.416977,-76.602552
1294,Ilex opaca,37.417103,-76.634956
1385,Liquidambar styraciflua,37.417103,-76.634956
1801,Pinus virginiana,37.417103,-76.634956
1454,Liriodendron tulipifera,37.41733,-76.645427
2309,Sassafras albidum,37.417476,-76.619263
2036,Quercus palustris,37.417566,-76.497889
1483,Liriodendron tulipifera,37.417994,-76.541549
559,Asimina triloba,37.418159,-76.556511
1955,Quercus falcata,37.420006,-76.529846
834,Diospyros virginiana,37.42021,-76.627733
1935,Quercus alba,37.42021,-76.627733
1996,Quercus michauxii,37.420338,-76.529585
1542,Nyssa sylvatica,37.42053,-76.530059
2311,Sassafras albidum,37.421111,-76.535833
1455,Liriodendron tulipifera,37.421243,-76.505607
2390,Taxodium distichum,37.421279,-76.484271
1677,Paulownia tomentosa,37.422248,-76.484281
774,Cornus florida,37.423991,-76.582848
1122,Fagus grandifolia,37.423991,-76.582848
1802,Pinus virginiana,37.428635,-76.566367
785,Diospyros virginiana,37.428895,-76.2629
237,Acer rubrum,37.434326,-76.286795
727,Carya cordiformis,37.436919,-76.532556
522,Asimina triloba,37.437214,-76.531847
540,Asimina triloba,37.437856,-76.576765
803,Diospyros virginiana,37.438543,-76.492102
529,Asimina triloba,37.439458,-76.532698
561,Asimina triloba,37.441006,-76.511131
1538,Nyssa sylvatica,37.442156,-76.35357
1517,Magnolia virginiana,37.442254,-76.353576
890,Fagus grandifolia,37.444304,-76.406335
1210,Fraxinus americana,37.444304,-76.406335
1448,Liriodendron tulipifera,37.444304,-76.406335
1527,Morus rubra,37.444304,-76.406335
2079,Quercus rubra,37.444304,-76.406335
2313,Sassafras albidum,37.447725,-76.483992
1672,Paulownia tomentosa,37.447779,-76.533423
2809,Ulmus americana,37.447779,-76.533423
531,Asimina triloba,37.447892,-76.483525
530,Asimina triloba,37.447969,-76.483422
535,Asimina triloba,37.448069,-76.483481
536,Asimina triloba,37.448172,-76.484014
1450,Liriodendron tulipifera,37.449007,-76.533434
527,Asimina triloba,37.449078,-76.532378
1167,Fagus grandifolia,37.449175,-76.614856
983,Fagus grandifolia,37.449929,-76.532912
987,Fagus grandifolia,37.45032,-76.528459
1293,Ilex opaca,37.45032,-76.528459
1374,Liquidambar styraciflua,37.45032,-76.528459
2054,Quercus phellos,37.450829,-76.324513
1414,Liquidambar styraciflua,37.452809,-76.5248
784,Diospyros virginiana,37.461517,-76.617302
1559,Ostrya virginiana,37.46368,-76.426659
1458,Liriodendron tulipifera,37.467362,-76.454933
1480,Liriodendron tulipifera,37.467446,-76.454722
800,Diospyros virginiana,37.470137,-76.319049
1812,Platanus occidentalis,37.470831,-76.559872
2337,Sassafras albidum,37.470962,-76.558901
776,Cornus florida,37.471021,-76.56005
1814,Platanus occidentalis,37.471046,-76.561074
554,Asimina triloba,37.471162,-76.561906
780,Cornus florida,37.471209,-76.560385
542,Asimina triloba,37.471613,-76.560738
545,Asimina triloba,37.47176,-76.560858
556,Asimina triloba,37.471965,-76.553271
2331,Sassafras albidum,37.471973,-76.562538
1475,Liriodendron tulipifera,37.472305,-76.548606
1316,Ilex opaca,37.496474,-76.569705
1423,Liquidambar styraciflua,37.499255,-76.351395
2342,Sassafras albidum,37.500747,-76.350363
2378,Taxodium distichum,37.50083,-76.34976
1667,Oxydendrum arboreum,37.502605,-76.464241
2383,Taxodium distichum,37.505468,-76.354138
741,Cercis canadensis,37.505804,-76.578569
1939,Quercus coccinea,37.532131,-76.62169
2310,Sassafras albidum,37.534462,-76.484425
777,Cornus florida,37.540596,-76.397295
1680,Paulownia tomentosa,37.54388,-76.39926
1519,Magnolia virginiana,37.547353,-76.61222
816,Diospyros virginiana,37.547372,-76.527047
817,Diospyros virginiana,37.547592,-76.4852
1682,Paulownia tomentosa,37.552322,-76.474005
2307,Sassafras albidum,37.57944,-76.457842
2376,Taxodium distichum,37.581,-76.608
905,Fagus grandifolia,37.581199,-76.608019
2391,Taxodium distichum,37.581561,-76.608209
2387,Taxodium distichum,37.58157,-76.608187
2388,Taxodium distichum,37.581591,-76.608207
2394,Taxodium distichum,37.581742,-76.608187
1289,Ilex opaca,37.58176,-76.608006
1420,Liquidambar styraciflua,37.581782,-76.608016
2269,Quercus virginiana,37.581813,-76.418607
2302,Sassafras albidum,37.581984,-76.606578
2350,Sassafras albidum,37.582002,-76.607124
547,Asimina triloba,37.582205,-76.607703
2305,Sassafras albidum,37.582272,-76.607772
541,Asimina triloba,37.582305,-76.607345
2006,Quercus nigra,37.582305,-76.607238
1993,Quercus michauxii,37.582522,-76.607522
2384,Taxodium distichum,37.583286,-76.606014
808,Diospyros virginiana,37.585,-76.488792
1860,Prunus serotina,37.585946,-76.443228
511,Ailanthus altissima,37.586567,-76.443345
538,Asimina triloba,37.590886,-76.576158
1367,Juniperus virginiana,37.592445,-76.503479
1800,Pinus virginiana,37.594437,-76.651497
2004,Quercus nigra,37.594445,-76.652108
796,Diospyros virginiana,37.596294,-76.664933
1523,Magnolia virginiana,37.596712,-76.654205
524,Asimina triloba,37.596881,-76.653639
526,Asimina triloba,37.596917,-76.65338
2800,Ulmus alata,37.597062,-76.650367
2382,Taxodium distichum,37.597908,-76.649513
2386,Taxodium distichum,37.601922,-76.6418
737,Cercis canadensis,37.602413,-76.642387
746,Cercis canadensis,37.602792,-76.642258
1174,Fagus grandifolia,37.6031,-76.642614
2300,Sassafras albidum,37.60322,-76.642401
1930,Quercus alba,37.603563,-76.642403
534,Asimina triloba,37.603787,-76.642533
525,Asimina triloba,37.60379,-76.562157
1088,Fagus grandifolia,37.604153,-76.562614
1678,Paulownia tomentosa,37.604315,-76.560921
1675,Paulownia tomentosa,37.604325,-76.56092
819,Diospyros virginiana,37.604355,-76.561037
1670,Paulownia tomentosa,37.60453,-76.561272
813,Diospyros virginiana,37.604857,-76.462957
533,Asimina triloba,37.604858,-76.561966
761,Celtis occidentalis,37.604988,-76.561303
517,Ailanthus altissima,37.605409,-76.498993
1064,Fagus grandifolia,37.605865,-76.562889
564,Asimina triloba,37.605896,-76.562904
1436,Liquidambar styraciflua,37.605927,-76.562851
1817,Platanus occidentalis,37.606208,-76.561562
1478,Liriodendron tulipifera,37.606476,-76.56176
1472,Liriodendron tulipifera,37.609192,-76.498087
772,Cornus florida,37.609213,-76.498633
1459,Liriodendron tulipifera,37.60947,-76.49855
1401,Liquidambar styraciflua,37.609558,-76.498463
1330,Juglans nigra,37.610408,-76.542558
1398,Liquidambar styraciflua,37.610655,-76.605556
1386,Liquidambar styraciflua,37.610665,-76.605327
543,Asimina triloba,37.611286,-76.550056
